,Semester,Year,Status,Major...7,Class,Gender...9,Finance?,Non-Business,Section,Survey Y/N,Day/Evening,Food Service,Apparel/Sewing,Other Consumer,Cottage Food,random_id,CompanyLetter,Learning Team,Faculty,Business Name
125,Winter,2023,Registered(11/04/2022),Bus Mgmt Marketing,JR,Male,No,No,8,N,NA,N/A,N/A,N/A,N/A,300GEHW3663HU633,H,1,Jared Eberhard,Wickalicous
126,Fall,2023,Registered(06/05/2023),Business Management,SR,Male,No,No,9,N,N/A,N/A,N/A,N/A,N/A,238GHAU3950EX113,I,1,Dave Rowe,Sunday Blues
127,Fall,2023,Registered(06/17/2023),Bus Mgmt Marketing,SR,Female,No,No,1,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Very Interested,Indifferent or No Opinion,215WIHS3274RW113,A,2,Scott Pope,CheFigo
128,Winter,2023,Registered(11/07/2022),Bus Mgmt Marketing,SR,Female,No,No,5,Y,Evening Operations (8-11AM & 7-10PM),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,894JLPP8102AI760,E,3,Rob Tietjen,After Hours
129,Fall,2023,Registered(06/11/2023),Business Management,JR,Male,No,No,1,N,N/A,N/A,N/A,N/A,N/A,758RSJK6241KM866,A,3,Scott Pope,CheFigo
130,Fall,2023,Registered(06/15/2023),Business Management,SR,Male,No,No,7,N,N/A,N/A,N/A,N/A,N/A,867XCRV9724XV734,G,2,Drew Eagar,Mac Dad
131,Fall,2022,Registered(06/08/2022),Business Management,JR,Male,No,No,5,N,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,659RVJN5411LQ320,NA,NA,NA,#N/A
132,Fall,2022,Registered(06/07/2022),Bus Mgmt Marketing,JR,Male,No,No,2,Y,Daytime,Very Interested,No Opinion,Not Interested,Very Interested,383RMND9441KO282,NA,NA,NA,#N/A
133,Fall,2023,Registered(09/08/2023),Business Management,SR,Female,No,No,3,N,N/A,N/A,N/A,N/A,N/A,454NHDW4910JK905,C,3,Rob Tietjen,Tia Tortilla
134,Winter,2023,Registered(11/09/2022),Bus Mgmt Marketing,JR,Male,No,No,4,Y,Daytime Operations (8AM-2PM),Very Interested,Very Interested,Very Interested,Very Interested,887TJCD7390WP692,D,3,Alan Thompson,Swift Blend
135,Fall,2022,Registered(06/09/2022),Bus Mgmt Marketing,JR,Female,No,No,8,Y,Daytime,Very Interested,No Opinion,Very Interested,Not Interested,243ETVE7743FK362,NA,NA,NA,#N/A
136,Spring,2023,Registered(03/07/2023),Bus Mgmt Marketing,JR,Female,No,No,1,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Not Interested,Not Interested,Very Interested,548TFQY7271AX870,A,3,Scott Pope,1793 & Co
137,Winter,2023,Registered(11/05/2022),Business Management,SR,Male,No,No,7,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,572WEJZ7253XI339,G,1,Jared Peterson,MemoRays
138,Spring,2023,Registered(03/16/2023),Bus Mgmt Marketing,SR,Female,No,No,3,N,NA,N/A,N/A,N/A,N/A,331OHQP5277RT152,C,3,Chris Boyce,The Chap Shack
139,Winter,2023,Registered(11/04/2022),FCS Apparel Entrepreneur,SR,Female,No,Yes,5,Y,Evening Operations (8-11AM & 7-10PM),Very Interested,Very Interested,Not Interested,Not Interested,163ECQN3975BU695,E,2,Rob Tietjen,After Hours
140,Winter,2023,Registered(11/11/2022),Business Management,SO,Male,No,No,2,N,NA,N/A,N/A,N/A,N/A,402FSHP4416RV777,B,3,Robert Wilson,Unboxed
141,Spring,2023,Registered(03/08/2023),Bus Mgmt Marketing,JR,Male,No,No,7,N,NA,N/A,N/A,N/A,N/A,556OUVC6989ZZ391,G,1,Brian Christensen,Brims
142,Fall,2023,Registered(06/06/2023),Bus Mgmt Marketing,JR,Female,No,No,5,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Very Interested,Very Interested,Indifferent or No Opinion,999INYE2210VD219,E,2,Jared Peterson,Off-Shore
143,Fall,2023,Registered(06/07/2023),Business Management,SR,Male,No,No,8,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,685AXQU9358FX717,H,3,Brian Christensen,Frozone
144,Spring,2023,Registered(03/09/2023),Business Management,JR,Male,No,No,9,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,685AXQU9358FX717,I,3,Dave Rowe,Easy Peasy
145,Fall,2022,Registered(06/08/2022),Communication,JR,Male,No,Yes,3,Y,Daytime,No Opinion,No Opinion,No Opinion,Very Interested,644NXRZ8289OG945,NA,NA,NA,#N/A
146,Spring,2022,Registered(03/09/2022),Business Management,JR,Female,No,No,8,Y,NA,Very Interested,Indifferent or No Opinion,Very Interested,Indifferent or No Opinion,251QBZW9244BF603,NA,NA,NA,#N/A
147,Spring,2023,Registered(03/11/2023),Recreation Management,SR,Male,No,Yes,9,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Not Interested,Not Interested,Very Interested,492UHPZ5363EU649,I,3,Dave Rowe,Easy Peasy
148,Fall,2022,Registered(08/23/2022),FCS Apparel Entrepreneur,SR,Male,No,Yes,5,N,NA,NA,NA,NA,NA,837VRPR6868UW632,NA,NA,NA,#N/A
149,Fall,2023,Registered(06/05/2023),Bus Mgmt Marketing,SR,Male,No,No,6,N,N/A,N/A,N/A,N/A,N/A,302IZAX6037IZ596,F,2,Kent Lundin,On-A-Stick
150,Fall,2022,Registered(06/15/2022),Bus Mgmt Marketing,SO,Female,No,No,1,Y,Daytime,No Opinion,Not Interested,No Opinion,Very Interested,190LHME2801JS316,NA,NA,NA,#N/A
151,Winter,2023,Registered(11/08/2022),Construction Management,SR,Male,No,Yes,7,N,NA,N/A,N/A,N/A,N/A,834CWUS6634ED889,G,2,Jared Peterson,MemoRays
152,Fall,2022,Registered(06/03/2022),Interdisciplinary,SR,Male,No,Yes,1,Y,Daytime,Very Interested,Not Interested,Very Interested,No Opinion,601WFCP8163JL293,NA,NA,NA,#N/A
153,Fall,2023,Registered(06/02/2023),Business Management,SR,Female,No,No,6,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,Very Interested,643NJKD1570SM700,F,3,Kent Lundin,On-A-Stick
154,Fall,2023,Registered(06/06/2023),Bus Mgmt Marketing,SR,Female,No,No,8,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Very Interested,Very Interested,414ZAPR1794KU250,H,2,Brian Christensen,Frozone
155,Fall,2023,Registered(06/07/2023),Interdisciplinary,JR,Female,No,Yes,2,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Very Interested,Very Interested,Not Interested,573NEOS8681YF977,B,1,Mary Maroon,Homeslice
156,Winter,2023,Registered(11/04/2022),Bus Mgmt Marketing,SR,Female,No,No,1,Y,Daytime Operations (8AM-2PM),Not Interested,Indifferent or No Opinion,Very Interested,Very Interested,143HCOM8198IX874,A,3,Charlie Crump,Golden Links
157,Spring,2023,Registered(03/16/2023),FCS Apparel Entrepreneur,JR,Male,No,Yes,2,Y,Evening Operations (8-11AM & 7-10PM roughly),Very Interested,Very Interested,Indifferent or No Opinion,Not Interested,949KSQP5691BA403,B,3,Rob Tietjen,Walk'in Tacos
158,Fall,2022,Registered(06/07/2022),Bus Mgmt Marketing,SR,Female,No,No,6,N,Evening,No Opinion,No Opinion,No Opinion,No Opinion,568EFIG1077RZ344,NA,NA,NA,#N/A
159,Fall,2022,Registered(06/03/2022),Bus Mgmt Marketing,SR,Male,No,No,6,Y,Evening,No Opinion,Very Interested,Not Interested,No Opinion,780FWBL2298SP157,NA,NA,NA,#N/A
160,Fall,2022,Registered(06/13/2022),Business Management,SO,Male,No,No,5,Y,Daytime,Very Interested,Very Interested,No Opinion,Very Interested,737YFVB2810QG887,NA,NA,NA,#N/A
161,Spring,2023,Registered(03/03/2023),Weld/Fabrication Tech,SR,Male,No,Yes,6,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Not Interested,Not Interested,Indifferent or No Opinion,276EPQW5675IU955,F,1,Kent Lundin,New Life
162,Spring,2022,Registered(04/10/2022),Business Management,JR,Female,No,No,7,N,NA,N/A,N/A,N/A,N/A,746WKFI7375CK866,NA,NA,NA,#N/A
163,Winter,2023,Registered(11/07/2022),Business Management,SR,Male,No,No,8,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Very Interested,Very Interested,Indifferent or No Opinion,362ERQU3501JG457,H,2,Jared Eberhard,Wickalicous
164,Spring,2022,Registered(03/23/2022),Business Management,JR,Female,No,No,2,Y,Daytime Operations (8AM-2PM),Very Interested,Not Interested,Indifferent or No Opinion,Very Interested,485SDRG4980MV275,NA,NA,NA,#N/A
165,Winter,2023,Registered(11/17/2022),Bus Mgmt Marketing,SR,Male,No,No,2,N,NA,N/A,N/A,N/A,N/A,766XBBO2908MA523,B,1,Robert Wilson,Unboxed
166,Fall,2022,Registered(09/12/2022),Business Finance,JR,Male,Yes,No,6,Y,NA,NA,NA,NA,NA,728WDQF6432UV540,NA,NA,NA,#N/A
167,Winter,2023,Registered(11/15/2022),Horticulture,SR,Female,No,Yes,1,Y,Daytime Operations (8AM-2PM),Very Interested,Not Interested,Very Interested,Indifferent or No Opinion,356JQMM2701QQ956,A,1,Charlie Crump,Golden Links
168,Fall,2022,Registered(06/09/2022),Business Management,JR,Male,No,No,1,Y,Daytime,Not Interested,No Opinion,No Opinion,No Opinion,269BWSH9759OP960,NA,NA,NA,#N/A
169,Winter,2023,Registered(11/04/2022),Bus Mgmt Marketing,SR,Male,No,No,7,Y,Daytime Operations (8AM-2PM),Not Interested,Indifferent or No Opinion,Very Interested,Very Interested,372MTXC6811FC386,G,2,Jared Peterson,MemoRays
170,Fall,2022,Registered(06/07/2022),Bus Mgmt Marketing,JR,Male,No,No,5,Y,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,763ETBJ2725GB379,NA,NA,NA,#N/A
171,Fall,2022,Registered(06/10/2022),Horticulture,JR,Male,No,Yes,6,Y,Evening,No Opinion,No Opinion,No Opinion,No Opinion,703PPTI6715QT166,NA,NA,NA,#N/A
172,Fall,2022,Registered(06/09/2022),Business Management,JR,Male,No,No,4,Y,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,622DPVP5028QR401,NA,NA,NA,#N/A
173,Spring,2023,Registered(03/12/2023),Business Analytics,SO,Female,Yes,No,9,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Not Interested,Not Interested,Very Interested,435QRKM7308BU333,I,2,Dave Rowe,Easy Peasy
174,Spring,2023,Registered(03/18/2023),Business Finance,FR,Male,Yes,No,5,N,NA,N/A,N/A,N/A,N/A,418UUZI9987JU754,E,3,Jared Eberhard,Bussin' Butter
175,Spring,2022,Registered(03/11/2022),Business Management,SO,Male,No,No,1,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Indifferent or No Opinion,Very Interested,Very Interested,216XUNX3947KQ517,NA,NA,NA,#N/A
176,Winter,2023,Registered(11/14/2022),Business Management,SO,Male,No,No,7,N,NA,N/A,N/A,N/A,N/A,250XCVW7657KB347,G,3,Jared Peterson,MemoRays
177,Spring,2022,Registered(03/09/2022),Bus Mgmt Marketing,JR,Female,No,No,8,N,NA,N/A,N/A,N/A,N/A,212XXLK7210WG223,NA,NA,NA,#N/A
178,Spring,2023,Registered(03/09/2023),Bus Mgmt Marketing,JR,Female,No,No,6,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Very Interested,Very Interested,Indifferent or No Opinion,396RDGZ6291LJ893,F,3,Kent Lundin,New Life
179,Spring,2022,Registered(03/03/2022),Bus Mgmt Marketing,SR,Male,No,No,6,Y,NA,Very Interested,Very Interested,Very Interested,Not Interested,679DNPU8974XC154,NA,NA,NA,#N/A
180,Winter,2023,Registered(12/07/2022),Bus Mgmt Marketing,SO,Male,No,No,1,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Indifferent or No Opinion,Very Interested,Indifferent or No Opinion,806SWMR7185WV488,A,3,Charlie Crump,Golden Links
181,Fall,2023,Registered(06/12/2023),Bus Mgmt Marketing,JR,Male,No,No,9,Y,Daytime Operations (8AM-2PM roughly),Not Interested,Very Interested,Indifferent or No Opinion,Not Interested,127OMNW4653YH956,I,3,Dave Rowe,Sunday Blues
182,Spring,2022,Registered(03/15/2022),Bus Mgmt Marketing,FR,Male,No,No,5,Y,NA,Not Interested,Very Interested,Very Interested,Not Interested,612ZIDK9973QH591,NA,NA,NA,#N/A
183,Spring,2022,Registered(03/09/2022),Bus Mgmt Marketing,JR,Female,No,No,8,Y,NA,Not Interested,Indifferent or No Opinion,Very Interested,Not Interested,562YDXZ4518TA767,NA,NA,NA,#N/A
184,Spring,2023,Registered(02/28/2023),Business Management,JR,Male,No,No,4,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Not Interested,Very Interested,744ZRKR2394MX535,D,3,Jared Peterson,Dashing Dough
185,Fall,2023,Registered(06/06/2023),Business Finance,JR,Female,Yes,No,9,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Not Interested,Not Interested,Indifferent or No Opinion,445MEMJ5133IY872,I,3,Dave Rowe,Sunday Blues
186,Spring,2022,Registered(03/03/2022),Business Management,SR,Female,No,No,7,Y,NA,Not Interested,Very Interested,Very Interested,Indifferent or No Opinion,556ZUYR1964ES440,NA,NA,NA,#N/A
187,Fall,2023,Registered(06/11/2023),Bus Mgmt Marketing,JR,Male,No,No,7,N,N/A,N/A,N/A,N/A,N/A,239GDWO1048VC920,G,1,Drew Eagar,Mac Dad
188,Winter,2023,Registered(11/04/2022),Bus Mgmt Marketing,SR,Male,No,No,4,Y,Daytime Operations (8AM-2PM),Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,100INRT1696VM132,D,3,Alan Thompson,Swift Blend
189,Spring,2022,Registered(03/15/2022),Business Management,SR,Female,No,No,8,Y,Daytime Operations (8AM-2PM),Very Interested,Very Interested,Not Interested,Not Interested,284WMQR3139FM725,NA,NA,NA,#N/A
190,Fall,2023,Registered(06/12/2023),Bus Mgmt Marketing,SO,Female,No,No,6,N,N/A,N/A,N/A,N/A,N/A,665MCTW9104OR829,F,1,Kent Lundin,On-A-Stick
191,Winter,2023,Registered(01/02/2023),Bus Mgmt Marketing,SO,Male,No,No,8,N,NA,N/A,N/A,N/A,N/A,297EISZ7197JW345,H,3,Jared Eberhard,Wickalicous
192,Fall,2023,Registered(06/07/2023),Bus Mgmt Marketing,JR,Male,No,No,9,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,829SJFO2342RB456,I,2,Dave Rowe,Sunday Blues
193,Fall,2022,Registered(06/09/2022),Automotive Tech Mgmt,JR,Male,No,Yes,7,N,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,749DOWV8114MZ317,NA,NA,NA,#N/A
194,Spring,2022,Registered(03/10/2022),Business Management,SO,Male,No,No,4,N,NA,N/A,N/A,N/A,N/A,994TZLT6381MK738,NA,NA,NA,#N/A
195,Winter,2023,Registered(11/07/2022),Bus Mgmt Marketing,SR,Male,No,No,2,Y,Daytime Operations (8AM-2PM),Not Interested,Indifferent or No Opinion,Very Interested,Indifferent or No Opinion,871MKMT5714KV744,B,2,Robert Wilson,Unboxed
196,Fall,2023,Registered(06/07/2023),Business Management,JR,Female,No,No,9,Y,Evening Operations (8-11AM & 7-10PM roughly),Not Interested,Very Interested,Very Interested,Not Interested,385EQAC4398KB898,I,3,Dave Rowe,Sunday Blues
197,Spring,2022,Registered(03/10/2022),Bus Mgmt Marketing,JR,Male,No,No,3,Y,NA,Not Interested,Not Interested,Very Interested,Very Interested,347XABA1056TQ721,NA,NA,NA,#N/A
198,Winter,2023,Registered(11/05/2022),Bus Mgmt Marketing,SR,Male,No,No,5,Y,Evening Operations (8-11AM & 7-10PM),Very Interested,Indifferent or No Opinion,Not Interested,Indifferent or No Opinion,186MXGK7032AA364,E,2,Rob Tietjen,After Hours
199,Fall,2022,Registered(08/17/2022),Bus Mgmt Marketing,JR,Male,No,No,2,N,NA,NA,NA,NA,NA,655CPPK5998XB385,NA,NA,NA,#N/A
200,Spring,2022,Registered(03/14/2022),Business Management,SO,Female,No,No,2,Y,Evening Operations (8-11AM & 7-10PM),Very Interested,Not Interested,Indifferent or No Opinion,Very Interested,318PBSK4272XJ177,NA,NA,NA,#N/A
201,Fall,2022,Registered(06/07/2022),Business Management,JR,Female,No,No,3,Y,Daytime,Very Interested,No Opinion,No Opinion,No Opinion,765KYHJ2718PG419,NA,NA,NA,#N/A
202,Spring,2022,Registered(03/16/2022),Business Management,SR,Male,No,No,2,N,NA,N/A,N/A,N/A,N/A,314HVEF5072FF424,NA,NA,NA,#N/A
203,Fall,2022,Registered(08/05/2022),Bus Mgmt Marketing,JR,Female,No,No,7,N,NA,NA,NA,NA,NA,623ZNPR4989NN180,NA,NA,NA,#N/A
204,Winter,2023,Registered(11/03/2022),Bus Mgmt Marketing,SR,Female,No,No,6,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,690BNKV6326JL253,F,2,Chris Boyce,CereALLS
205,Fall,2023,Registered(06/07/2023),Business Management,JR,Female,No,No,4,Y,Daytime Operations (8AM-2PM roughly),Not Interested,Very Interested,Very Interested,Not Interested,293GGQZ3199TR467,D,1,Chris Boyce,Your Signature Jewlery
206,Fall,2022,Registered(06/11/2022),Bus Mgmt Marketing,JR,Male,No,No,7,N,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,728XSOA1120DO858,NA,NA,NA,#N/A
207,Fall,2023,Registered(06/07/2023),Bus Mgmt Marketing,JR,Male,No,No,4,Y,Daytime Operations (8AM-2PM roughly),Not Interested,Indifferent or No Opinion,Very Interested,Very Interested,267HMYE2173SG157,D,3,Chris Boyce,Your Signature Jewlery
208,Spring,2022,Registered(03/05/2022),Business Management,SR,Male,No,No,5,Y,Daytime Operations (8AM-2PM),Very Interested,Not Interested,Indifferent or No Opinion,Indifferent or No Opinion,854BHNN5163GD850,NA,NA,NA,#N/A
209,Fall,2022,Registered(06/10/2022),Construction Management,JR,Male,No,Yes,3,Y,Daytime,Very Interested,No Opinion,No Opinion,Very Interested,100CBTY8094YO579,NA,NA,NA,#N/A
210,Spring,2023,Registered(03/06/2023),Bus Mgmt Marketing,SR,Male,No,No,9,Y,Daytime Operations (8AM-2PM roughly),Not Interested,Very Interested,Very Interested,Indifferent or No Opinion,645SMDR3241EL998,I,1,Dave Rowe,Easy Peasy
211,Fall,2023,Registered(08/19/2023),Business Management,SR,Male,No,No,3,N,N/A,N/A,N/A,N/A,N/A,401RSLK6184CI352,C,3,Rob Tietjen,Tia Tortilla
212,Fall,2022,Registered(06/11/2022),Communication,SO,Female,No,Yes,6,Y,Evening,Very Interested,Not Interested,Very Interested,No Opinion,392HJRY9536MM290,NA,NA,NA,#N/A
213,Spring,2023,Registered(03/10/2023),Bus Mgmt Marketing,SO,Male,No,No,4,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Very Interested,Not Interested,Indifferent or No Opinion,529GZON3192FQ776,D,1,Jared Peterson,Dashing Dough
214,Spring,2023,Registered(03/22/2023),Construction Management,SR,Female,No,Yes,4,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Very Interested,Very Interested,Very Interested,940XTQI5825OR687,D,1,Jared Peterson,Dashing Dough
215,Spring,2023,Registered(03/19/2023),Virtual Design & Const,SO,Male,No,Yes,2,Y,Evening Operations (8-11AM & 7-10PM roughly),Indifferent or No Opinion,Not Interested,Not Interested,Indifferent or No Opinion,337JMVK2077HW700,B,1,Rob Tietjen,Walk'in Tacos
216,Fall,2023,Registered(06/06/2023),Business Management,JR,Male,No,No,8,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Not Interested,Very Interested,Indifferent or No Opinion,495JKOT9966DY239,H,3,Brian Christensen,Frozone
217,Spring,2022,Registered(03/07/2022),Business Management,JR,Male,No,No,6,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Not Interested,Very Interested,Indifferent or No Opinion,898IMVP7998GB319,NA,NA,NA,#N/A
218,Fall,2022,Registered(06/05/2022),Psychology,SR,Female,No,Yes,2,N,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,245SRPW2854OK547,NA,NA,NA,#N/A
219,Fall,2022,Registered(06/24/2022),Business Management,SO,Male,No,No,6,Y,Evening,Very Interested,No Opinion,No Opinion,Very Interested,395IPCA5420AF229,NA,NA,NA,#N/A
220,Fall,2022,Registered(06/04/2022),Construction Management,SR,Male,No,Yes,5,Y,Daytime,Very Interested,No Opinion,Very Interested,No Opinion,419TIQX6713SS447,NA,NA,NA,#N/A
221,Spring,2023,Registered(03/17/2023),Bus Mgmt Marketing,FR,Female,No,No,9,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,Very Interested,908TOLN2901MV233,I,3,Dave Rowe,Easy Peasy
222,Spring,2022,Registered(03/16/2022),Business Management,SO,Male,No,No,7,Y,NA,Not Interested,Very Interested,Very Interested,Indifferent or No Opinion,774HLAK8524AM301,NA,NA,NA,#N/A
223,Fall,2023,Registered(06/05/2023),Business Management,SR,Male,No,No,3,Y,Evening Operations (8-11AM & 7-10PM roughly),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,391CYSW5656HU412,C,1,Rob Tietjen,Tia Tortilla
224,Fall,2023,tbd,Business Management,SR,Male,No,No,3,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Indifferent or No Opinion,Indifferent or No Opinion,Very Interested,337NGXH5232QB302,C,2,Rob Tietjen,Tia Tortilla
225,Fall,2022,Registered(06/29/2022),Business Management,JR,Male,No,No,2,Y,Daytime,Very Interested,Very Interested,Very Interested,Very Interested,186JJHW8515ZI865,NA,NA,NA,#N/A
226,Fall,2022,Registered(06/06/2022),FCS Apparel Entrepreneur,SR,Female,No,Yes,2,Y,Daytime,Very Interested,Not Interested,No Opinion,No Opinion,601XSLU1584XB797,NA,NA,NA,#N/A
227,Spring,2022,Registered(03/03/2022),Business Management,SR,Male,No,No,5,Y,Daytime Operations (8AM-2PM),Very Interested,Very Interested,Not Interested,Not Interested,398HCUC2024GW152,NA,NA,NA,#N/A
228,Winter,2023,Registered(11/03/2022),Business Management,SR,Male,No,No,5,Y,Evening Operations (8-11AM & 7-10PM),Very Interested,Very Interested,Not Interested,Indifferent or No Opinion,398HCUC2024GW152,E,2,Rob Tietjen,After Hours
229,Fall,2022,Registered(06/03/2022),Automotive Tech Mgmt,SR,Male,No,Yes,4,N,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,607GMLW3197MJ439,NA,NA,NA,#N/A
230,Spring,2022,Registered(03/03/2022),Communication,SR,Male,No,Yes,7,Y,NA,Very Interested,Indifferent or No Opinion,Very Interested,Indifferent or No Opinion,657XUYA9262XJ700,NA,NA,NA,#N/A
231,Spring,2023,Registered(03/08/2023),Bus Mgmt Marketing,JR,Female,No,No,6,Y,Daytime Operations (8AM-2PM roughly),Not Interested,Very Interested,Very Interested,Not Interested,937KJGG5367BY582,F,3,Kent Lundin,New Life
232,Spring,2022,Registered(04/01/2022),Computer Info Technology,SR,Male,No,Yes,8,N,NA,N/A,N/A,N/A,N/A,593ASMK2314ST549,NA,NA,NA,#N/A
233,Fall,2022,Registered(09/12/2022),Business Management,SO,Male,No,No,4,Y,NA,NA,NA,NA,NA,436REAJ4309BX634,NA,NA,NA,#N/A
234,Winter,2023,Registered(11/10/2022),Bus Mgmt Marketing,JR,Male,No,No,6,Y,Daytime Operations (8AM-2PM),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,544WYSU4622EW663,F,3,Chris Boyce,CereALLS
235,Fall,2023,Registered(06/06/2023),Business Management,JR,Male,No,No,2,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,277SWWD5580OK693,B,1,Mary Maroon,Homeslice
236,Winter,2023,Registered(11/11/2022),Bus Mgmt Marketing,SO,Male,No,No,8,Y,Daytime Operations (8AM-2PM),Not Interested,Indifferent or No Opinion,Very Interested,Not Interested,983THPS7846CV856,H,3,Jared Eberhard,Wickalicous
237,Winter,2023,Registered(12/05/2022),Bus Mgmt Marketing,SR,Male,No,No,5,Y,Evening Operations (8-11AM & 7-10PM),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,253GQZX4741JV683,E,1,Rob Tietjen,After Hours
238,Fall,2022,Registered(06/08/2022),Recreation Management,JR,Male,No,Yes,6,Y,Evening,Very Interested,Not Interested,No Opinion,Not Interested,195YSRA9479EN367,NA,NA,NA,#N/A
239,Fall,2022,Registered(08/30/2022),Business Management,SR,Male,No,No,8,N,NA,NA,NA,NA,NA,570OKFV2557RB921,NA,NA,NA,#N/A
240,Spring,2023,Registered(03/09/2023),Business Management,SR,Male,No,No,7,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,Indifferent or No Opinion,744XXZR3229VW541,G,2,Brian Christensen,Brims
241,Fall,2022,Registered(06/07/2022),Bus Mgmt Marketing,JR,Female,No,No,7,Y,Daytime,No Opinion,Very Interested,Not Interested,Very Interested,851NDIX7625PY533,NA,NA,NA,#N/A
242,Fall,2022,Registered(06/09/2022),Bus Mgmt Marketing,JR,Female,No,No,3,N,Daytime,No Opinion,No Opinion,No Opinion,No Opinion,822GNEE1559NN167,NA,NA,NA,#N/A
243,Spring,2023,Registered(03/13/2023),Business Management,SO,Male,No,No,6,Y,Daytime Operations (8AM-2PM roughly),Indifferent or No Opinion,Not Interested,Very Interested,Indifferent or No Opinion,467THRM7783GW554,F,1,Kent Lundin,New Life
244,Fall,2022,Registered(06/07/2022),International Studies,SR,Female,No,Yes,6,Y,Either,Very Interested,Very Interested,Very Interested,Very Interested,139FUBM2418WF997,NA,NA,NA,#N/A
245,Spring,2022,Registered(03/08/2022),Communication,JR,Female,No,Yes,5,Y,NA,Not Interested,Very Interested,Very Interested,Indifferent or No Opinion,723XTGH4525AA877,NA,NA,NA,#N/A
246,Spring,2023,Registered(03/14/2023),Business Management,FR,Female,No,No,4,Y,Daytime Operations (8AM-2PM roughly),Not Interested,Very Interested,Very Interested,Indifferent or No Opinion,975NGVQ1267TH535,D,1,Jared Peterson,Dashing Dough
247,Spring,2023,Registered(03/09/2023),Business Management,JR,Female,No,No,7,N,NA,N/A,N/A,N/A,N/A,360RHMB5793CJ504,G,1,Brian Christensen,Brims
248,Spring,2022,Registered(03/09/2022),FCS Apparel Entrepreneur,SO,Female,No,Yes,3,Y,NA,Not Interested,Very Interested,Very Interested,Very Interested,427NVRL4962XZ234,NA,NA,NA,#N/A
249,Spring,2023,Registered(03/06/2023),Musical Arts,SR,Female,No,Yes,8,Y,Daytime Operations (8AM-2PM roughly),Very Interested,Not Interested,Indifferent or No Opinion,Indifferent or No Opinion,917OFIW7078KZ917,H,2,Charlie Crump,Dippers
250,Winter,2023,Registered(11/09/2022),Bus Mgmt Marketing,JR,Male,No,No,1,N,NA,N/A,N/A,N/A,N/A,194JLNK7891DT707,A,2,Charlie Crump,Golden Links
