"","Semester","Year","Status","Cross-listed Course","Major...7","Class","Gender...9","Female?","Finance?","Non-Business","Assigned Section","Survey Y/N","Day/Evening","Food Service","Apparel/Sewing","Other Consumer","Cottage Food","random_id","CompanyLetter","Learning Team","Faculty"
"119","Fall","2022","Registered(06/08/2022)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",8,"Y","Daytime","Very Interested","No Opinion","Not Interested","Very Interested","935BUAO2896TS280",NA,NA,NA
"120","Spring","2023","Registered(03/06/2023)",NA,"Business Management Ops","SR","Male","No","No","No",4,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","646SSLC4195AH529","D",3,"Jared Peterson"
"121","Fall","2023","Registered(06/09/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",6,"N","N/A","N/A","N/A","N/A","N/A","337ATMG7180BO579","F",2,"Kent Lundin"
"122","Spring","2022","Registered(03/09/2022)",NA,"Construction Management","SO","Male","No","No","Yes",8,"Y",NA,"Indifferent or No Opinion","Not Interested","Very Interested","Very Interested","131ZBST3446WU734",NA,NA,NA
"123","Spring","2022","Registered(03/08/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",5,"Y","Evening Operations (8-11AM & 7-10PM)","Very Interested","Not Interested","Not Interested","Indifferent or No Opinion","566KBRL5198ZQ704",NA,NA,NA
"124","Fall","2023","Registered(06/07/2023)",NA,"Graphic Design","SR","Female","Yes","No","Yes",1,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Very Interested","Not Interested","Very Interested","230WVTN6496EA521","A",1,"Scott Pope"
"125","Winter","2023","Registered(11/04/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",8,"N",NA,"N/A","N/A","N/A","N/A","300GEHW3663HU633","H",1,"Jared Eberhard"
"126","Fall","2023","Registered(06/05/2023)",NA,"Business Management","SR","Male","No","No","No",9,"N","N/A","N/A","N/A","N/A","N/A","238GHAU3950EX113","I",1,"Dave Rowe"
"127","Fall","2023","Registered(06/17/2023)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",1,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","215WIHS3274RW113","A",2,"Scott Pope"
"128","Winter","2023","Registered(11/07/2022)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",5,"Y","Evening Operations (8-11AM & 7-10PM)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","894JLPP8102AI760","E",3,"Rob Tietjen"
"129","Fall","2023","Registered(06/11/2023)",NA,"Business Management","JR","Male","No","No","No",1,"N","N/A","N/A","N/A","N/A","N/A","758RSJK6241KM866","A",3,"Scott Pope"
"130","Fall","2023","Registered(06/15/2023)",NA,"Business Management","SR","Male","No","No","No",7,"N","N/A","N/A","N/A","N/A","N/A","867XCRV9724XV734","G",2,"Drew Eagar"
"131","Fall","2022","Registered(06/08/2022)",NA,"Business Management","JR","Male","No","No","No",5,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","659RVJN5411LQ320",NA,NA,NA
"132","Fall","2022","Registered(06/07/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",2,"Y","Daytime","Very Interested","No Opinion","Not Interested","Very Interested","383RMND9441KO282",NA,NA,NA
"133","Fall","2023","Registered(09/08/2023)",NA,"Business Management","SR","Female","Yes","No","No",3,"N","N/A","N/A","N/A","N/A","N/A","454NHDW4910JK905","C",3,"Rob Tietjen"
"134","Winter","2023","Registered(11/09/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",4,"Y","Daytime Operations (8AM-2PM)","Very Interested","Very Interested","Very Interested","Very Interested","887TJCD7390WP692","D",3,"Alan Thompson"
"135","Fall","2022","Registered(06/09/2022)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",8,"Y","Daytime","Very Interested","No Opinion","Very Interested","Not Interested","243ETVE7743FK362",NA,NA,NA
"136","Spring","2023","Registered(03/07/2023)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",1,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Not Interested","Very Interested","548TFQY7271AX870","A",3,"Scott Pope"
"137","Winter","2023","Registered(11/05/2022)",NA,"Business Management","SR","Male","No","No","No",7,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","572WEJZ7253XI339","G",1,"Jared Peterson"
"138","Spring","2023","Registered(03/16/2023)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",3,"N",NA,"N/A","N/A","N/A","N/A","331OHQP5277RT152","C",3,"Chris Boyce"
"139","Winter","2023","Registered(11/04/2022)",NA,"FCS Apparel Entrepreneur","SR","Female","Yes","No","Yes",5,"Y","Evening Operations (8-11AM & 7-10PM)","Very Interested","Very Interested","Not Interested","Not Interested","163ECQN3975BU695","E",2,"Rob Tietjen"
"140","Winter","2023","Registered(11/11/2022)",NA,"Business Management","SO","Male","No","No","No",2,"N",NA,"N/A","N/A","N/A","N/A","402FSHP4416RV777","B",3,"Robert Wilson"
"141","Spring","2023","Registered(03/08/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",7,"N",NA,"N/A","N/A","N/A","N/A","556OUVC6989ZZ391","G",1,"Brian Christensen"
"142","Fall","2023","Registered(06/06/2023)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",5,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Very Interested","Very Interested","Indifferent or No Opinion","999INYE2210VD219","E",2,"Jared Peterson"
"143","Fall","2023","Registered(06/07/2023)",NA,"Business Management","SR","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","685AXQU9358FX717","H",3,"Brian Christensen"
"144","Spring","2023","Registered(03/09/2023)",NA,"Business Management","JR","Male","No","No","No",9,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","685AXQU9358FX717","I",3,"Dave Rowe"
"145","Fall","2022","Registered(06/08/2022)",NA,"Communication","JR","Male","No","No","Yes",3,"Y","Daytime","No Opinion","No Opinion","No Opinion","Very Interested","644NXRZ8289OG945",NA,NA,NA
"146","Spring","2022","Registered(03/09/2022)",NA,"Business Management","JR","Female","Yes","No","No",8,"Y",NA,"Very Interested","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","251QBZW9244BF603",NA,NA,NA
"147","Spring","2023","Registered(03/11/2023)",NA,"Recreation Management","SR","Male","No","No","Yes",9,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Not Interested","Very Interested","492UHPZ5363EU649","I",3,"Dave Rowe"
"148","Fall","2022","Registered(08/23/2022)",NA,"FCS Apparel Entrepreneur","SR","Male","No","No","Yes",5,"N",NA,NA,NA,NA,NA,"837VRPR6868UW632",NA,NA,NA
"149","Fall","2023","Registered(06/05/2023)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",6,"N","N/A","N/A","N/A","N/A","N/A","302IZAX6037IZ596","F",2,"Kent Lundin"
"150","Fall","2022","Registered(06/15/2022)",NA,"Bus Mgmt Marketing","SO","Female","Yes","No","No",1,"Y","Daytime","No Opinion","Not Interested","No Opinion","Very Interested","190LHME2801JS316",NA,NA,NA
"151","Winter","2023","Registered(11/08/2022)",NA,"Construction Management","SR","Male","No","No","Yes",7,"N",NA,"N/A","N/A","N/A","N/A","834CWUS6634ED889","G",2,"Jared Peterson"
"152","Fall","2022","Registered(06/03/2022)",NA,"Interdisciplinary","SR","Male","No","No","Yes",1,"Y","Daytime","Very Interested","Not Interested","Very Interested","No Opinion","601WFCP8163JL293",NA,NA,NA
"153","Fall","2023","Registered(06/02/2023)",NA,"Business Management","SR","Female","Yes","No","No",6,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","643NJKD1570SM700","F",3,"Kent Lundin"
"154","Fall","2023","Registered(06/06/2023)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Very Interested","Very Interested","414ZAPR1794KU250","H",2,"Brian Christensen"
"155","Fall","2023","Registered(06/07/2023)",NA,"Interdisciplinary","JR","Female","Yes","No","Yes",2,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Very Interested","Very Interested","Not Interested","573NEOS8681YF977","B",1,"Mary Maroon"
"156","Winter","2023","Registered(11/04/2022)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",1,"Y","Daytime Operations (8AM-2PM)","Not Interested","Indifferent or No Opinion","Very Interested","Very Interested","143HCOM8198IX874","A",3,"Charlie Crump"
"157","Spring","2023","Registered(03/16/2023)",NA,"FCS Apparel Entrepreneur","JR","Male","No","No","Yes",2,"Y","Evening Operations (8-11AM & 7-10PM roughly)","Very Interested","Very Interested","Indifferent or No Opinion","Not Interested","949KSQP5691BA403","B",3,"Rob Tietjen"
"158","Fall","2022","Registered(06/07/2022)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",6,"N","Evening","No Opinion","No Opinion","No Opinion","No Opinion","568EFIG1077RZ344",NA,NA,NA
"159","Fall","2022","Registered(06/03/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",6,"Y","Evening","No Opinion","Very Interested","Not Interested","No Opinion","780FWBL2298SP157",NA,NA,NA
"160","Fall","2022","Registered(06/13/2022)",NA,"Business Management","SO","Male","No","No","No",5,"Y","Daytime","Very Interested","Very Interested","No Opinion","Very Interested","737YFVB2810QG887",NA,NA,NA
"161","Spring","2023","Registered(03/03/2023)",NA,"Weld/Fabrication Tech","SR","Male","No","No","Yes",6,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Not Interested","Indifferent or No Opinion","276EPQW5675IU955","F",1,"Kent Lundin"
"162","Spring","2022","Registered(04/10/2022)",NA,"Business Management","JR","Female","Yes","No","No",7,"N",NA,"N/A","N/A","N/A","N/A","746WKFI7375CK866",NA,NA,NA
"163","Winter","2023","Registered(11/07/2022)",NA,"Business Management","SR","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Very Interested","Very Interested","Indifferent or No Opinion","362ERQU3501JG457","H",2,"Jared Eberhard"
"164","Spring","2022","Registered(03/23/2022)",NA,"Business Management","JR","Female","Yes","No","No",2,"Y","Daytime Operations (8AM-2PM)","Very Interested","Not Interested","Indifferent or No Opinion","Very Interested","485SDRG4980MV275",NA,NA,NA
"165","Winter","2023","Registered(11/17/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",2,"N",NA,"N/A","N/A","N/A","N/A","766XBBO2908MA523","B",1,"Robert Wilson"
"166","Fall","2022","Registered(09/12/2022)",NA,"Business Finance","JR","Male","No","Yes","No",6,"Y",NA,NA,NA,NA,NA,"728WDQF6432UV540",NA,NA,NA
"167","Winter","2023","Registered(11/15/2022)",NA,"Horticulture","SR","Female","Yes","No","Yes",1,"Y","Daytime Operations (8AM-2PM)","Very Interested","Not Interested","Very Interested","Indifferent or No Opinion","356JQMM2701QQ956","A",1,"Charlie Crump"
"168","Fall","2022","Registered(06/09/2022)",NA,"Business Management","JR","Male","No","No","No",1,"Y","Daytime","Not Interested","No Opinion","No Opinion","No Opinion","269BWSH9759OP960",NA,NA,NA
"169","Winter","2023","Registered(11/04/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",7,"Y","Daytime Operations (8AM-2PM)","Not Interested","Indifferent or No Opinion","Very Interested","Very Interested","372MTXC6811FC386","G",2,"Jared Peterson"
"170","Fall","2022","Registered(06/07/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",5,"Y","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","763ETBJ2725GB379",NA,NA,NA
"171","Fall","2022","Registered(06/10/2022)",NA,"Horticulture","JR","Male","No","No","Yes",6,"Y","Evening","No Opinion","No Opinion","No Opinion","No Opinion","703PPTI6715QT166",NA,NA,NA
"172","Fall","2022","Registered(06/09/2022)",NA,"Business Management","JR","Male","No","No","No",4,"Y","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","622DPVP5028QR401",NA,NA,NA
"173","Spring","2023","Registered(03/12/2023)",NA,"Business Analytics","SO","Female","Yes","Yes","No",9,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Not Interested","Very Interested","435QRKM7308BU333","I",2,"Dave Rowe"
"174","Spring","2023","Registered(03/18/2023)",NA,"Business Finance","FR","Male","No","Yes","No",5,"N",NA,"N/A","N/A","N/A","N/A","418UUZI9987JU754","E",3,"Jared Eberhard"
"175","Spring","2022","Registered(03/11/2022)",NA,"Business Management","SO","Male","No","No","No",1,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","Very Interested","216XUNX3947KQ517",NA,NA,NA
"176","Winter","2023","Registered(11/14/2022)",NA,"Business Management","SO","Male","No","No","No",7,"N",NA,"N/A","N/A","N/A","N/A","250XCVW7657KB347","G",3,"Jared Peterson"
"177","Spring","2022","Registered(03/09/2022)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",8,"N",NA,"N/A","N/A","N/A","N/A","212XXLK7210WG223",NA,NA,NA
"178","Spring","2023","Registered(03/09/2023)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",6,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Very Interested","Very Interested","Indifferent or No Opinion","396RDGZ6291LJ893","F",3,"Kent Lundin"
"179","Spring","2022","Registered(03/03/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",6,"Y",NA,"Very Interested","Very Interested","Very Interested","Not Interested","679DNPU8974XC154",NA,NA,NA
"180","Winter","2023","Registered(12/07/2022)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",1,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","806SWMR7185WV488","A",3,"Charlie Crump"
"181","Fall","2023","Registered(06/12/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",9,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Very Interested","Indifferent or No Opinion","Not Interested","127OMNW4653YH956","I",3,"Dave Rowe"
"182","Spring","2022","Registered(03/15/2022)",NA,"Bus Mgmt Marketing","FR","Male","No","No","No",5,"Y",NA,"Not Interested","Very Interested","Very Interested","Not Interested","612ZIDK9973QH591",NA,NA,NA
"183","Spring","2022","Registered(03/09/2022)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",8,"Y",NA,"Not Interested","Indifferent or No Opinion","Very Interested","Not Interested","562YDXZ4518TA767",NA,NA,NA
"184","Spring","2023","Registered(02/28/2023)",NA,"Business Management","JR","Male","No","No","No",4,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Not Interested","Very Interested","744ZRKR2394MX535","D",3,"Jared Peterson"
"185","Fall","2023","Registered(06/06/2023)",NA,"Business Finance","JR","Female","Yes","Yes","No",9,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Not Interested","Not Interested","Indifferent or No Opinion","445MEMJ5133IY872","I",3,"Dave Rowe"
"186","Spring","2022","Registered(03/03/2022)",NA,"Business Management","SR","Female","Yes","No","No",7,"Y",NA,"Not Interested","Very Interested","Very Interested","Indifferent or No Opinion","556ZUYR1964ES440",NA,NA,NA
"187","Fall","2023","Registered(06/11/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",7,"N","N/A","N/A","N/A","N/A","N/A","239GDWO1048VC920","G",1,"Drew Eagar"
"188","Winter","2023","Registered(11/04/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",4,"Y","Daytime Operations (8AM-2PM)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","100INRT1696VM132","D",3,"Alan Thompson"
"189","Spring","2022","Registered(03/15/2022)",NA,"Business Management","SR","Female","Yes","No","No",8,"Y","Daytime Operations (8AM-2PM)","Very Interested","Very Interested","Not Interested","Not Interested","284WMQR3139FM725",NA,NA,NA
"190","Fall","2023","Registered(06/12/2023)",NA,"Bus Mgmt Marketing","SO","Female","Yes","No","No",6,"N","N/A","N/A","N/A","N/A","N/A","665MCTW9104OR829","F",1,"Kent Lundin"
"191","Winter","2023","Registered(01/02/2023)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",8,"N",NA,"N/A","N/A","N/A","N/A","297EISZ7197JW345","H",3,"Jared Eberhard"
"192","Fall","2023","Registered(06/07/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",9,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","829SJFO2342RB456","I",2,"Dave Rowe"
"193","Fall","2022","Registered(06/09/2022)",NA,"Automotive Tech Mgmt","JR","Male","No","No","Yes",7,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","749DOWV8114MZ317",NA,NA,NA
"194","Spring","2022","Registered(03/10/2022)",NA,"Business Management","SO","Male","No","No","No",4,"N",NA,"N/A","N/A","N/A","N/A","994TZLT6381MK738",NA,NA,NA
"195","Winter","2023","Registered(11/07/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",2,"Y","Daytime Operations (8AM-2PM)","Not Interested","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","871MKMT5714KV744","B",2,"Robert Wilson"
"196","Fall","2023","Registered(06/07/2023)",NA,"Business Management","JR","Female","Yes","No","No",9,"Y","Evening Operations (8-11AM & 7-10PM roughly)","Not Interested","Very Interested","Very Interested","Not Interested","385EQAC4398KB898","I",3,"Dave Rowe"
"197","Spring","2022","Registered(03/10/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",3,"Y",NA,"Not Interested","Not Interested","Very Interested","Very Interested","347XABA1056TQ721",NA,NA,NA
"198","Winter","2023","Registered(11/05/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",5,"Y","Evening Operations (8-11AM & 7-10PM)","Very Interested","Indifferent or No Opinion","Not Interested","Indifferent or No Opinion","186MXGK7032AA364","E",2,"Rob Tietjen"
"199","Fall","2022","Registered(08/17/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",2,"N",NA,NA,NA,NA,NA,"655CPPK5998XB385",NA,NA,NA
"200","Spring","2022","Registered(03/14/2022)",NA,"Business Management","SO","Female","Yes","No","No",2,"Y","Evening Operations (8-11AM & 7-10PM)","Very Interested","Not Interested","Indifferent or No Opinion","Very Interested","318PBSK4272XJ177",NA,NA,NA
"201","Fall","2022","Registered(06/07/2022)",NA,"Business Management","JR","Female","Yes","No","No",3,"Y","Daytime","Very Interested","No Opinion","No Opinion","No Opinion","765KYHJ2718PG419",NA,NA,NA
"202","Spring","2022","Registered(03/16/2022)",NA,"Business Management","SR","Male","No","No","No",2,"N",NA,"N/A","N/A","N/A","N/A","314HVEF5072FF424",NA,NA,NA
"203","Fall","2022","Registered(08/05/2022)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",7,"N",NA,NA,NA,NA,NA,"623ZNPR4989NN180",NA,NA,NA
"204","Winter","2023","Registered(11/03/2022)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",6,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","690BNKV6326JL253","F",2,"Chris Boyce"
"205","Fall","2023","Registered(06/07/2023)",NA,"Business Management","JR","Female","Yes","No","No",4,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Very Interested","Very Interested","Not Interested","293GGQZ3199TR467","D",1,"Chris Boyce"
"206","Fall","2022","Registered(06/11/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",7,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","728XSOA1120DO858",NA,NA,NA
"207","Fall","2023","Registered(06/07/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",4,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Indifferent or No Opinion","Very Interested","Very Interested","267HMYE2173SG157","D",3,"Chris Boyce"
"208","Spring","2022","Registered(03/05/2022)",NA,"Business Management","SR","Male","No","No","No",5,"Y","Daytime Operations (8AM-2PM)","Very Interested","Not Interested","Indifferent or No Opinion","Indifferent or No Opinion","854BHNN5163GD850",NA,NA,NA
"209","Fall","2022","Registered(06/10/2022)",NA,"Construction Management","JR","Male","No","No","Yes",3,"Y","Daytime","Very Interested","No Opinion","No Opinion","Very Interested","100CBTY8094YO579",NA,NA,NA
"210","Spring","2023","Registered(03/06/2023)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",9,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Very Interested","Very Interested","Indifferent or No Opinion","645SMDR3241EL998","I",1,"Dave Rowe"
"211","Fall","2023","Registered(08/19/2023)",NA,"Business Management","SR","Male","No","No","No",3,"N","N/A","N/A","N/A","N/A","N/A","401RSLK6184CI352","C",3,"Rob Tietjen"
"212","Fall","2022","Registered(06/11/2022)",NA,"Communication","SO","Female","Yes","No","Yes",6,"Y","Evening","Very Interested","Not Interested","Very Interested","No Opinion","392HJRY9536MM290",NA,NA,NA
"213","Spring","2023","Registered(03/10/2023)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",4,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Very Interested","Not Interested","Indifferent or No Opinion","529GZON3192FQ776","D",1,"Jared Peterson"
"214","Spring","2023","Registered(03/22/2023)",NA,"Construction Management","SR","Female","Yes","No","Yes",4,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Very Interested","Very Interested","Very Interested","940XTQI5825OR687","D",1,"Jared Peterson"
"215","Spring","2023","Registered(03/19/2023)",NA,"Virtual Design & Const","SO","Male","No","No","Yes",2,"Y","Evening Operations (8-11AM & 7-10PM roughly)","Indifferent or No Opinion","Not Interested","Not Interested","Indifferent or No Opinion","337JMVK2077HW700","B",1,"Rob Tietjen"
"216","Fall","2023","Registered(06/06/2023)",NA,"Business Management","JR","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Very Interested","Indifferent or No Opinion","495JKOT9966DY239","H",3,"Brian Christensen"
"217","Spring","2022","Registered(03/07/2022)",NA,"Business Management","JR","Male","No","No","No",6,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Not Interested","Very Interested","Indifferent or No Opinion","898IMVP7998GB319",NA,NA,NA
"218","Fall","2022","Registered(06/05/2022)",NA,"Psychology","SR","Female","Yes","No","Yes",2,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","245SRPW2854OK547",NA,NA,NA
"219","Fall","2022","Registered(06/24/2022)",NA,"Business Management","SO","Male","No","No","No",6,"Y","Evening","Very Interested","No Opinion","No Opinion","Very Interested","395IPCA5420AF229",NA,NA,NA
"220","Fall","2022","Registered(06/04/2022)",NA,"Construction Management","SR","Male","No","No","Yes",5,"Y","Daytime","Very Interested","No Opinion","Very Interested","No Opinion","419TIQX6713SS447",NA,NA,NA
"221","Spring","2023","Registered(03/17/2023)",NA,"Bus Mgmt Marketing","FR","Female","Yes","No","No",9,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","908TOLN2901MV233","I",3,"Dave Rowe"
"222","Spring","2022","Registered(03/16/2022)",NA,"Business Management","SO","Male","No","No","No",7,"Y",NA,"Not Interested","Very Interested","Very Interested","Indifferent or No Opinion","774HLAK8524AM301",NA,NA,NA
"223","Fall","2023","Registered(06/05/2023)",NA,"Business Management","SR","Male","No","No","No",3,"Y","Evening Operations (8-11AM & 7-10PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","391CYSW5656HU412","C",1,"Rob Tietjen"
"224","Fall","2023","tbd",NA,"Business Management","SR","Male","No","No","No",3,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","337NGXH5232QB302","C",2,"Rob Tietjen"
"225","Fall","2022","Registered(06/29/2022)",NA,"Business Management","JR","Male","No","No","No",2,"Y","Daytime","Very Interested","Very Interested","Very Interested","Very Interested","186JJHW8515ZI865",NA,NA,NA
"226","Fall","2022","Registered(06/06/2022)",NA,"FCS Apparel Entrepreneur","SR","Female","Yes","No","Yes",2,"Y","Daytime","Very Interested","Not Interested","No Opinion","No Opinion","601XSLU1584XB797",NA,NA,NA
"227","Spring","2022","Registered(03/03/2022)",NA,"Business Management","SR","Male","No","No","No",5,"Y","Daytime Operations (8AM-2PM)","Very Interested","Very Interested","Not Interested","Not Interested","398HCUC2024GW152",NA,NA,NA
"228","Winter","2023","Registered(11/03/2022)",NA,"Business Management","SR","Male","No","No","No",5,"Y","Evening Operations (8-11AM & 7-10PM)","Very Interested","Very Interested","Not Interested","Indifferent or No Opinion","398HCUC2024GW152","E",2,"Rob Tietjen"
"229","Fall","2022","Registered(06/03/2022)",NA,"Automotive Tech Mgmt","SR","Male","No","No","Yes",4,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","607GMLW3197MJ439",NA,NA,NA
"230","Spring","2022","Registered(03/03/2022)",NA,"Communication","SR","Male","No","No","Yes",7,"Y",NA,"Very Interested","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","657XUYA9262XJ700",NA,NA,NA
"231","Spring","2023","Registered(03/08/2023)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",6,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Very Interested","Very Interested","Not Interested","937KJGG5367BY582","F",3,"Kent Lundin"
"232","Spring","2022","Registered(04/01/2022)",NA,"Computer Info Technology","SR","Male","No","No","Yes",8,"N",NA,"N/A","N/A","N/A","N/A","593ASMK2314ST549",NA,NA,NA
"233","Fall","2022","Registered(09/12/2022)",NA,"Business Management","SO","Male","No","No","No",4,"Y",NA,NA,NA,NA,NA,"436REAJ4309BX634",NA,NA,NA
"234","Winter","2023","Registered(11/10/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",6,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","544WYSU4622EW663","F",3,"Chris Boyce"
"235","Fall","2023","Registered(06/06/2023)",NA,"Business Management","JR","Male","No","No","No",2,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","277SWWD5580OK693","B",1,"Mary Maroon"
"236","Winter","2023","Registered(11/11/2022)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM)","Not Interested","Indifferent or No Opinion","Very Interested","Not Interested","983THPS7846CV856","H",3,"Jared Eberhard"
"237","Winter","2023","Registered(12/05/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",5,"Y","Evening Operations (8-11AM & 7-10PM)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","253GQZX4741JV683","E",1,"Rob Tietjen"
"238","Fall","2022","Registered(06/08/2022)",NA,"Recreation Management","JR","Male","No","No","Yes",6,"Y","Evening","Very Interested","Not Interested","No Opinion","Not Interested","195YSRA9479EN367",NA,NA,NA
